=== Chai Page Fault Study (nsys) ===
Host: 209-20-156-92
Date: Wed Jan 28 16:09:03 UTC 2026
GPU: NVIDIA H100 PCIe
CUDA: Cuda compilation tools, release 12.8, V12.8.93
  HSTO: threads=64, gpu_blocks=8, partition=0.0
  HSTO: threads=64, gpu_blocks=8, partition=0.1
  HSTO: threads=64, gpu_blocks=8, partition=0.25
  HSTO: threads=64, gpu_blocks=8, partition=0.5
  HSTO: threads=64, gpu_blocks=8, partition=0.75
  HSTO: threads=64, gpu_blocks=8, partition=0.9
  HSTO: threads=64, gpu_blocks=8, partition=1.0
  HSTO: threads=64, gpu_blocks=16, partition=0.0
  HSTO: threads=64, gpu_blocks=16, partition=0.1
  HSTO: threads=64, gpu_blocks=16, partition=0.25
  HSTO: threads=64, gpu_blocks=16, partition=0.5
  HSTO: threads=64, gpu_blocks=16, partition=0.75
  HSTO: threads=64, gpu_blocks=16, partition=0.9
  HSTO: threads=64, gpu_blocks=16, partition=1.0
  HSTO: threads=64, gpu_blocks=32, partition=0.0
  HSTO: threads=64, gpu_blocks=32, partition=0.1
  HSTO: threads=64, gpu_blocks=32, partition=0.25
  HSTO: threads=64, gpu_blocks=32, partition=0.5
  HSTO: threads=64, gpu_blocks=32, partition=0.75
  HSTO: threads=64, gpu_blocks=32, partition=0.9
  HSTO: threads=64, gpu_blocks=32, partition=1.0
  HSTO: threads=64, gpu_blocks=64, partition=0.0
  HSTO: threads=64, gpu_blocks=64, partition=0.1
  HSTO: threads=64, gpu_blocks=64, partition=0.25
  HSTO: threads=64, gpu_blocks=64, partition=0.5
  HSTO: threads=64, gpu_blocks=64, partition=0.75
  HSTO: threads=64, gpu_blocks=64, partition=0.9
  HSTO: threads=64, gpu_blocks=64, partition=1.0
  Raw nsys reports saved to /home/ubuntu/rajesh-fs-utah/chai/CUDA-U/h100_pf
=== Running PAD (with partition + GPU blocks sweep) ===
  PAD: threads=1, gpu_blocks=8, partition=0.0
  PAD: threads=1, gpu_blocks=8, partition=0.1
  PAD: threads=1, gpu_blocks=8, partition=0.25
  PAD: threads=1, gpu_blocks=8, partition=0.5
  PAD: threads=1, gpu_blocks=8, partition=0.75
  PAD: threads=1, gpu_blocks=8, partition=0.9
  PAD: threads=1, gpu_blocks=8, partition=1.0
  PAD: threads=1, gpu_blocks=16, partition=0.0
  PAD: threads=1, gpu_blocks=16, partition=0.1
  PAD: threads=1, gpu_blocks=16, partition=0.25
  PAD: threads=1, gpu_blocks=16, partition=0.5
  PAD: threads=1, gpu_blocks=16, partition=0.75
  PAD: threads=1, gpu_blocks=16, partition=0.9
